worker_id,ring_name,birthday,birthplace,height_cm,weight_kg,promotion,rating,votes,profile_url
30928,Elijah Holyfield,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=30928&gimmick=Elijah+Holyfield
18787,Elton Prince,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=18787&gimmick=Elton+Prince
7543,Eric Watts,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=7543&gimmick=Eric+Watts
9368,Erick Rowan,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=9368&gimmick=Erick+Rowan
2725,Erik,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2725&gimmick=Erik
7216,Ethan Page,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=7216&gimmick=Ethan+Page
20006,Fallon Henley,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=20006&gimmick=Fallon+Henley
2742,Finn Balor,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2742&gimmick=Finn+Balor
154,Fit Finlay,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=154&gimmick=Fit+Finlay
903,Funaki,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=903&gimmick=Funaki
3756,Gabe Sapolsky,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=3756&gimmick=Gabe+Sapolsky
19615,Giulia,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=19615&gimmick=Giulia
901,Godfather,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=901&gimmick=Godfather
19310,Grayson Waller,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=19310&gimmick=Grayson+Waller
16807,Gunther,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=16807&gimmick=Gunther
25516,Hank Walker,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=25516&gimmick=Hank+Walker
30202,Harlem Lewis,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=30202&gimmick=Harlem+Lewis
1897,Harvey Wippleman,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=1897&gimmick=Harvey+Wippleman
31572,Haze Jameson,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=31572&gimmick=Haze+Jameson
2118,Holger Böschen,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=2118&gimmick=Holger+Böschen
156,Honky Tonk Man,,,,,World Wrestling Entertainment,,,https://www.cagematch.net/?id=2&nr=156&gimmick=Honky+Tonk+Man
